City,Category,Jaccard,b1_stars,b2_stars,b1_rev,b2_rev
Philadelphia,Restaurants,0.009861932938856016,4.5,3.5,205,307
Philadelphia,Restaurants,0.009202453987730062,4.5,3.5,205,453
Philadelphia,Restaurants,0.018306636155606407,4.5,4.0,205,240
Philadelphia,Restaurants,0.019940179461615155,4.5,4.0,205,818
Philadelphia,Restaurants,0.009333333333333334,4.5,4.0,205,552
Philadelphia,Restaurants,0.021238938053097345,4.5,4.5,205,372
Philadelphia,Restaurants,0.012213740458015267,4.5,4.5,205,1121
Philadelphia,Restaurants,0.006112469437652812,4.5,4.0,205,618
Philadelphia,Restaurants,0.012371134020618556,4.5,4.0,205,286
Philadelphia,Restaurants,0.004477611940298508,4.5,3.5,205,1141
Philadelphia,Restaurants,0.007380073800738007,4.5,4.0,205,614
Philadelphia,Restaurants,0.007776049766718507,4.5,3.5,205,443
Philadelphia,Restaurants,0.013076923076923076,4.5,3.5,205,1112
Philadelphia,Restaurants,0.012693935119887164,4.0,3.5,65,653
Philadelphia,Restaurants,0.010893246187363835,3.0,4.5,41,423
Philadelphia,Restaurants,0.007614213197969543,3.5,4.0,65,729
Philadelphia,Restaurants,0.02,3.5,4.5,65,241
Philadelphia,Restaurants,0.009819967266775777,3.5,4.0,65,552
Philadelphia,Restaurants,0.010221465076660987,3.5,4.5,65,1121
Philadelphia,Restaurants,0.007374631268436578,3.5,4.0,65,618
Philadelphia,Restaurants,0.005838198498748957,3.5,3.5,65,1141
Philadelphia,Restaurants,0.012062726176115802,3.0,4.0,56,783
Philadelphia,Restaurants,0.0165016501650165,3.0,4.0,56,252
Philadelphia,Restaurants,0.015625,3.0,3.0,56,334
Philadelphia,Restaurants,0.033582089552238806,3.0,3.0,56,221
Philadelphia,Restaurants,0.030120481927710843,3.0,2.5,56,115
Philadelphia,Restaurants,0.016025641025641024,3.0,4.0,56,261
Philadelphia,Restaurants,0.009036144578313253,3.0,4.0,56,614
Philadelphia,Restaurants,0.0059665871121718375,3.0,3.5,56,787
Philadelphia,Restaurants,0.006029285099052541,3.0,3.5,56,1112
Philadelphia,Restaurants,0.006666666666666667,3.0,4.0,137,618
Philadelphia,Restaurants,0.014005602240896359,3.0,3.0,137,225
Philadelphia,Restaurants,0.02512562814070352,3.0,4.0,137,67
Philadelphia,Restaurants,0.012903225806451613,3.0,3.0,137,334
Philadelphia,Restaurants,0.014106583072100314,3.0,4.5,137,510
Philadelphia,Restaurants,0.012006861063464836,3.0,3.5,137,453
Philadelphia,Restaurants,0.010263929618768328,3.0,4.0,137,552
Philadelphia,Restaurants,0.01478494623655914,3.0,4.0,137,618
Philadelphia,Restaurants,0.003927729772191673,3.0,3.5,137,1141
Philadelphia,Restaurants,0.00544069640914037,3.0,3.5,137,787
Philadelphia,Restaurants,0.010452961672473868,3.0,3.5,137,443
Philadelphia,Restaurants,0.0064464141821112,3.0,3.5,137,1112
Philadelphia,Restaurants,0.007927519818799546,4.5,4.0,72,818
Philadelphia,Restaurants,0.005054759898904802,4.5,4.5,72,1121
Philadelphia,Restaurants,0.010269576379974325,4.5,4.0,183,604
Philadelphia,Restaurants,0.014534883720930232,4.5,4.0,183,166
Philadelphia,Restaurants,0.02242152466367713,4.5,4.0,183,273
Philadelphia,Restaurants,0.014583333333333334,4.5,4.0,183,304
Philadelphia,Restaurants,0.012919896640826873,4.5,3.5,183,209
Philadelphia,Restaurants,0.008771929824561403,4.5,4.0,183,622
Philadelphia,Restaurants,0.018867924528301886,4.5,4.0,183,249
Philadelphia,Restaurants,0.015060240963855422,4.5,4.0,183,154
Philadelphia,Restaurants,0.007042253521126761,4.5,4.0,183,818
Philadelphia,Restaurants,0.00684931506849315,4.5,4.0,183,552
Philadelphia,Restaurants,0.010882708585247884,4.5,3.5,183,653
Philadelphia,Restaurants,0.006844106463878327,4.5,3.5,183,1141
Philadelphia,Restaurants,0.007585335018963337,4.5,4.0,183,614
Philadelphia,Restaurants,0.011308562197092083,4.5,3.5,183,443
Philadelphia,Restaurants,0.020905923344947737,4.5,2.5,183,110
Philadelphia,Restaurants,0.005434782608695652,4.5,3.5,183,1112
Philadelphia,Restaurants,0.006067961165048544,4.0,4.0,46,783
Philadelphia,Restaurants,0.03546099290780142,4.0,3.5,46,100
Philadelphia,Restaurants,0.011583011583011582,4.5,4.5,66,458
Philadelphia,Restaurants,0.024930747922437674,4.5,4.0,66,304
Philadelphia,Restaurants,0.010670731707317074,3.0,4.0,178,485
Philadelphia,Restaurants,0.0062827225130890054,3.0,4.0,178,783
Philadelphia,Restaurants,0.011210762331838564,3.0,4.0,178,273
Philadelphia,Restaurants,0.009708737864077669,3.0,3.5,178,446
Philadelphia,Restaurants,0.011135857461024499,3.0,2.5,178,276
Philadelphia,Restaurants,0.011217948717948718,3.0,3.5,178,453
Philadelphia,Restaurants,0.01015228426395939,3.0,4.0,178,618
Philadelphia,Restaurants,0.012180267965895249,3.0,3.5,178,653
Philadelphia,Restaurants,0.009181331293037491,3.0,3.5,178,1141
Philadelphia,Restaurants,0.005208333333333333,3.0,3.5,178,787
Philadelphia,Restaurants,0.013050570962479609,3.0,3.5,178,443
Philadelphia,Restaurants,0.0176678445229682,3.0,2.5,178,110
Philadelphia,Restaurants,0.005455962587685113,3.0,3.5,178,1112
Philadelphia,Restaurants,0.006230529595015576,4.0,4.5,618,351
Philadelphia,Restaurants,0.019182652210175146,4.0,4.0,618,604
Philadelphia,Restaurants,0.011612903225806452,4.0,4.0,618,166
Philadelphia,Restaurants,0.02244039270687237,4.0,3.5,618,111
Philadelphia,Restaurants,0.009210526315789473,4.0,3.5,618,149
Philadelphia,Restaurants,0.011926605504587157,4.0,4.0,618,485
Philadelphia,Restaurants,0.007782101167315175,4.0,4.5,618,159
Philadelphia,Restaurants,0.04671857619577308,4.0,4.0,618,323
Philadelphia,Restaurants,0.012091898428053204,4.0,4.0,618,219
Philadelphia,Restaurants,0.00904977375565611,4.0,4.0,618,51
Philadelphia,Restaurants,0.013748191027496382,4.0,4.0,618,783
Philadelphia,Restaurants,0.0059031877213695395,4.0,4.0,618,234
Philadelphia,Restaurants,0.014207650273224045,4.0,4.5,618,310
Philadelphia,Restaurants,0.017326732673267328,4.0,3.5,618,615
Philadelphia,Restaurants,0.016210739614994935,4.0,3.5,618,385
Philadelphia,Restaurants,0.007918552036199095,4.0,4.0,618,273
Philadelphia,Restaurants,0.009857612267250822,4.0,4.0,618,304
Philadelphia,Restaurants,0.0125,4.0,4.5,618,192
Philadelphia,Restaurants,0.01034928848641656,4.0,4.5,618,163
Philadelphia,Restaurants,0.011056511056511056,4.0,4.5,618,205
Philadelphia,Restaurants,0.007239819004524887,4.0,4.0,618,495
Philadelphia,Restaurants,0.01592356687898089,4.0,3.5,618,339
Philadelphia,Restaurants,0.007614213197969543,4.0,4.0,618,176
Philadelphia,Restaurants,0.00927487352445194,4.0,4.5,618,579
Philadelphia,Restaurants,0.01968205904617714,4.0,4.0,618,729
Philadelphia,Restaurants,0.015018773466833541,4.0,4.5,618,193
Philadelphia,Restaurants,0.009580838323353293,4.0,3.0,618,225
Philadelphia,Restaurants,0.017227235438884332,4.0,4.0,618,622
Philadelphia,Restaurants,0.008438818565400843,4.0,4.0,618,338
Philadelphia,Restaurants,0.008333333333333333,4.0,4.0,618,108
Philadelphia,Restaurants,0.004721435316336166,4.0,3.5,618,446
Philadelphia,Restaurants,0.020190023752969122,4.0,4.5,618,241
Philadelphia,Restaurants,0.006342494714587738,4.0,3.0,618,334
Philadelphia,Restaurants,0.014388489208633094,4.0,4.5,618,510
Philadelphia,Restaurants,0.01092896174863388,4.0,3.5,618,307
Philadelphia,Restaurants,0.010377358490566037,4.0,3.5,618,453
Philadelphia,Restaurants,0.007102272727272727,4.0,5.0,618,91
Philadelphia,Restaurants,0.007342143906020558,4.0,4.5,618,68
Philadelphia,Restaurants,0.008225616921269096,4.0,4.0,618,240
Philadelphia,Restaurants,0.0191625266146203,4.0,4.0,618,818
Philadelphia,Restaurants,0.005393743257820928,4.0,4.0,618,314
Philadelphia,Restaurants,0.020942408376963352,4.0,4.0,618,552
Philadelphia,Restaurants,0.009174311926605505,4.0,4.5,618,372
Philadelphia,Restaurants,0.056500607533414335,4.0,4.5,618,1121
Philadelphia,Restaurants,0.006105006105006105,4.0,4.5,618,206
Philadelphia,Restaurants,0.006075334143377886,4.0,4.0,618,210
Philadelphia,Restaurants,0.004826254826254826,4.0,4.5,618,423
Philadelphia,Restaurants,0.007863695937090432,4.0,3.5,618,151
Philadelphia,Restaurants,0.010796221322537112,4.0,3.0,618,131
Philadelphia,Restaurants,0.015612161051766639,4.0,4.0,618,618
Philadelphia,Restaurants,0.010714285714285714,4.0,4.0,618,231
Philadelphia,Restaurants,0.011185682326621925,4.0,4.0,618,286
Philadelphia,Restaurants,0.006857142857142857,4.0,4.0,618,263
Philadelphia,Restaurants,0.017614091273018415,4.0,3.5,618,653
Philadelphia,Restaurants,0.019174041297935103,4.0,4.0,618,73
Philadelphia,Restaurants,0.00911854103343465,4.0,4.0,618,46
Philadelphia,Restaurants,0.017939814814814815,4.0,3.5,618,1141
Philadelphia,Restaurants,0.009221311475409836,4.0,3.5,618,367
Philadelphia,Restaurants,0.012552301255230125,4.0,4.0,618,108
Philadelphia,Restaurants,0.03745318352059925,4.0,4.5,618,213
Philadelphia,Restaurants,0.008027522935779817,4.0,4.0,618,261
Philadelphia,Restaurants,0.006535947712418301,4.0,4.0,618,614
Philadelphia,Restaurants,0.006514657980456026,4.0,3.5,618,618
Philadelphia,Restaurants,0.015173410404624277,4.0,3.5,618,787
Philadelphia,Restaurants,0.006641366223908918,4.0,3.5,618,443
Philadelphia,Restaurants,0.015258215962441314,4.0,3.5,618,1112
Philadelphia,Restaurants,0.015810276679841896,4.5,3.5,351,163
Philadelphia,Restaurants,0.0077279752704791345,4.5,4.0,351,301
Philadelphia,Restaurants,0.010882708585247884,4.5,4.0,351,485
Philadelphia,Restaurants,0.011904761904761904,4.5,4.5,351,159
Philadelphia,Restaurants,0.013784461152882205,4.5,4.5,351,458
Philadelphia,Restaurants,0.008982035928143712,4.5,4.0,351,323
Philadelphia,Restaurants,0.016042780748663103,4.5,4.0,351,219
Philadelphia,Restaurants,0.013404825737265416,4.5,4.0,351,783
Philadelphia,Restaurants,0.016863406408094434,4.5,4.0,351,252
Philadelphia,Restaurants,0.01386481802426343,4.5,4.0,351,234
Philadelphia,Restaurants,0.010273972602739725,4.5,3.5,351,239
Philadelphia,Restaurants,0.007621951219512195,4.5,4.5,351,310
Philadelphia,Restaurants,0.011518324607329843,4.5,3.5,351,615
Philadelphia,Restaurants,0.011345218800648298,4.5,4.0,351,273
Philadelphia,Restaurants,0.01866251944012442,4.5,4.0,351,304
Philadelphia,Restaurants,0.016826923076923076,4.5,3.5,351,72
Philadelphia,Restaurants,0.010309278350515464,4.5,3.5,351,139
Philadelphia,Restaurants,0.026755852842809364,4.5,4.0,351,263
Philadelphia,Restaurants,0.00954653937947494,4.5,4.0,351,495
Philadelphia,Restaurants,0.008771929824561403,4.5,3.5,351,339
Philadelphia,Restaurants,0.026490066225165563,4.5,4.5,351,579
Philadelphia,Restaurants,0.014492753623188406,4.5,3.5,351,209
Philadelphia,Restaurants,0.011235955056179775,4.5,4.0,351,729
Philadelphia,Restaurants,0.008290155440414507,4.5,4.0,351,622
Philadelphia,Restaurants,0.011747430249632892,4.5,4.0,351,338
Philadelphia,Restaurants,0.02188183807439825,4.5,3.5,351,116
Philadelphia,Restaurants,0.021153846153846155,4.5,3.5,351,180
Philadelphia,Restaurants,0.008517887563884156,4.5,4.5,351,241
Philadelphia,Restaurants,0.015873015873015872,4.5,3.5,351,97
Philadelphia,Restaurants,0.015330188679245283,4.5,4.5,351,510
Philadelphia,Restaurants,0.006257822277847309,4.5,3.5,351,453
Philadelphia,Restaurants,0.008532423208191127,4.5,4.0,351,240
Philadelphia,Restaurants,0.024539877300613498,4.5,4.0,351,818
Philadelphia,Restaurants,0.009487666034155597,4.5,4.0,351,181
Philadelphia,Restaurants,0.010638297872340425,4.5,4.0,351,314
Philadelphia,Restaurants,0.014606741573033709,4.5,4.0,351,552
Philadelphia,Restaurants,0.011065006915629323,4.5,4.5,351,380
Philadelphia,Restaurants,0.03581661891117478,4.5,4.5,351,372
Philadelphia,Restaurants,0.00821917808219178,4.5,4.5,351,1121
Philadelphia,Restaurants,0.008992805755395683,4.5,4.0,351,210
Philadelphia,Restaurants,0.009126466753585397,4.5,4.5,351,423
Philadelphia,Restaurants,0.008324661810613945,4.5,4.0,351,618
Philadelphia,Restaurants,0.010416666666666666,4.5,4.0,351,231
Philadelphia,Restaurants,0.012718600953895072,4.5,4.0,351,286
Philadelphia,Restaurants,0.015254237288135594,4.5,4.5,351,248
Philadelphia,Restaurants,0.02100840336134454,4.5,4.5,351,135
Philadelphia,Restaurants,0.00878972278566599,4.5,3.5,351,1141
Philadelphia,Restaurants,0.008237232289950576,4.5,4.0,351,261
Philadelphia,Restaurants,0.012591815320041973,4.5,4.0,351,614
Philadelphia,Restaurants,0.012455516014234875,4.5,3.5,351,787
Philadelphia,Restaurants,0.02056555269922879,4.5,3.5,351,443
Philadelphia,Restaurants,0.013043478260869565,4.5,4.0,351,115
Philadelphia,Restaurants,0.031007751937984496,4.5,3.5,351,1112
Philadelphia,Restaurants,0.009210526315789473,4.0,3.5,604,163
Philadelphia,Restaurants,0.012330456226880395,4.0,4.0,604,217
Philadelphia,Restaurants,0.0158311345646438,4.0,4.0,604,166
Philadelphia,Restaurants,0.009887005649717515,4.0,3.5,604,111
Philadelphia,Restaurants,0.00938337801608579,4.0,3.5,604,149
Philadelphia,Restaurants,0.009077155824508321,4.0,2.5,604,63
Philadelphia,Restaurants,0.013023255813953489,4.0,4.0,604,485
Philadelphia,Restaurants,0.009259259259259259,4.0,4.5,604,159
Philadelphia,Restaurants,0.023178807947019868,4.0,4.0,604,323
Philadelphia,Restaurants,0.013546798029556651,4.0,4.0,604,219
Philadelphia,Restaurants,0.012408759124087591,4.0,4.0,604,783
Philadelphia,Restaurants,0.008244994110718492,4.0,4.0,604,252
Philadelphia,Restaurants,0.010856453558504222,4.0,4.0,604,234
Philadelphia,Restaurants,0.008373205741626795,4.0,3.5,604,239
Philadelphia,Restaurants,0.005500550055005501,4.0,4.5,604,310
Philadelphia,Restaurants,0.018379281537176273,4.0,3.5,604,615
Philadelphia,Restaurants,0.01331967213114754,4.0,3.5,604,385
Philadelphia,Restaurants,0.008045977011494253,4.0,4.0,604,273
Philadelphia,Restaurants,0.00776914539400666,4.0,4.0,604,304
Philadelphia,Restaurants,0.007246376811594203,4.0,4.5,604,91
Philadelphia,Restaurants,0.008141112618724558,4.0,3.5,604,139
Philadelphia,Restaurants,0.008728179551122194,4.0,4.5,604,205
Philadelphia,Restaurants,0.0054894784995425435,4.0,4.0,604,495
Philadelphia,Restaurants,0.006711409395973154,4.0,3.5,604,146
Philadelphia,Restaurants,0.023887079261672096,4.0,3.5,604,339
Philadelphia,Restaurants,0.0064516129032258064,4.0,4.0,604,176
Philadelphia,Restaurants,0.02070750647109577,4.0,4.5,604,579
Philadelphia,Restaurants,0.01625,4.0,3.5,604,209
Philadelphia,Restaurants,0.01600609756097561,4.0,4.0,604,729
Philadelphia,Restaurants,0.010139416983523447,4.0,4.5,604,193
Philadelphia,Restaurants,0.01717791411042945,4.0,3.0,604,225
Philadelphia,Restaurants,0.020815986677768527,4.0,4.0,604,622
Philadelphia,Restaurants,0.015086206896551725,4.0,4.0,604,338
Philadelphia,Restaurants,0.02155688622754491,4.0,4.0,604,249
Philadelphia,Restaurants,0.016456921587608905,4.0,3.5,604,446
Philadelphia,Restaurants,0.010332950631458095,4.0,2.5,604,276
Philadelphia,Restaurants,0.014230271668822769,4.0,3.5,604,180
Philadelphia,Restaurants,0.01076555023923445,4.0,4.5,604,241
Philadelphia,Restaurants,0.010086455331412104,4.0,3.5,604,97
Philadelphia,Restaurants,0.006437768240343348,4.0,3.0,604,334
Philadelphia,Restaurants,0.012711864406779662,4.0,3.5,604,113
Philadelphia,Restaurants,0.017351598173515982,4.0,4.5,604,510
Philadelphia,Restaurants,0.01560758082497213,4.0,3.5,604,307
Philadelphia,Restaurants,0.022243713733075435,4.0,3.5,604,453
Philadelphia,Restaurants,0.007700770077007701,4.0,3.0,604,312
Philadelphia,Restaurants,0.012016021361815754,4.0,4.0,604,154
Philadelphia,Restaurants,0.0059594755661501785,4.0,4.0,604,240
Philadelphia,Restaurants,0.030434782608695653,4.0,4.0,604,818
Philadelphia,Restaurants,0.00547645125958379,4.0,4.0,604,314
Philadelphia,Restaurants,0.02120141342756184,4.0,4.0,604,552
Philadelphia,Restaurants,0.014553014553014554,4.0,4.5,604,372
Philadelphia,Restaurants,0.028622540250447227,4.0,4.5,604,1121
Philadelphia,Restaurants,0.02132998745294856,4.0,4.0,604,210
Philadelphia,Restaurants,0.006666666666666667,4.0,3.5,604,151
Philadelphia,Restaurants,0.007886435331230283,4.0,4.0,604,35
Philadelphia,Restaurants,0.02689075630252101,4.0,4.0,604,618
Philadelphia,Restaurants,0.0071174377224199285,4.0,4.5,604,245
Philadelphia,Restaurants,0.020642201834862386,4.0,4.0,604,286
Philadelphia,Restaurants,0.00580046403712297,4.0,4.0,604,263
Philadelphia,Restaurants,0.012139605462822459,4.0,3.5,604,63
Philadelphia,Restaurants,0.0128928283642224,4.0,3.5,604,653
Philadelphia,Restaurants,0.006570302233902759,4.0,3.5,604,162
Philadelphia,Restaurants,0.029498525073746312,4.0,3.5,604,1141
Philadelphia,Restaurants,0.009355509355509356,4.0,3.5,604,367
Philadelphia,Restaurants,0.0084985835694051,4.0,4.0,604,108
Philadelphia,Restaurants,0.008641975308641974,4.0,4.5,604,213
Philadelphia,Restaurants,0.007518796992481203,4.0,2.5,604,200
Philadelphia,Restaurants,0.015258215962441314,4.0,4.0,604,261
Philadelphia,Restaurants,0.014154870940882597,4.0,4.0,604,614
Philadelphia,Restaurants,0.011589403973509934,4.0,3.5,604,618
Philadelphia,Restaurants,0.01904761904761905,4.0,3.5,604,787
Philadelphia,Restaurants,0.015518913676042677,4.0,3.5,604,443
Philadelphia,Restaurants,0.007374631268436578,4.0,3.0,604,79
Philadelphia,Restaurants,0.011477761836441894,4.0,4.0,604,101
Philadelphia,Restaurants,0.009831460674157303,4.0,4.0,604,115
Philadelphia,Restaurants,0.017793594306049824,4.0,3.5,604,1112
Philadelphia,Restaurants,0.018666666666666668,3.5,4.0,163,219
Philadelphia,Restaurants,0.010683760683760684,3.5,4.0,163,783
Philadelphia,Restaurants,0.014341590612777053,3.5,3.5,163,615
Philadelphia,Restaurants,0.010822510822510822,3.5,4.0,163,304
Philadelphia,Restaurants,0.009523809523809525,3.5,4.5,163,579
Philadelphia,Restaurants,0.010080645161290322,3.5,4.0,163,338
Philadelphia,Restaurants,0.020833333333333332,3.5,3.5,163,180
Philadelphia,Restaurants,0.0196078431372549,3.5,3.5,163,97
Philadelphia,Restaurants,0.01016260162601626,3.5,3.0,163,334
Philadelphia,Restaurants,0.014827018121911038,3.5,3.5,163,453
Philadelphia,Restaurants,0.010298661174047374,3.5,4.0,163,818
Philadelphia,Restaurants,0.009887005649717515,3.5,4.0,163,552
Philadelphia,Restaurants,0.01358695652173913,3.5,4.0,163,210
Philadelphia,Restaurants,0.007741935483870968,3.5,4.0,163,618
Philadelphia,Restaurants,0.013544018058690745,3.5,4.0,163,286
Philadelphia,Restaurants,0.008507347254447023,3.5,3.5,163,1141
Philadelphia,Restaurants,0.021686746987951807,3.5,4.0,163,261
Philadelphia,Restaurants,0.006476683937823834,3.5,4.0,163,614
Philadelphia,Restaurants,0.006355932203389831,3.5,3.5,163,787
Philadelphia,Restaurants,0.008319467554076539,3.5,3.5,163,443
Philadelphia,Restaurants,0.011904761904761904,3.5,3.5,163,1112
Philadelphia,Restaurants,0.008620689655172414,4.0,4.0,217,485
Philadelphia,Restaurants,0.021739130434782608,4.0,4.5,217,159
Philadelphia,Restaurants,0.010479041916167664,4.0,4.5,217,458
Philadelphia,Restaurants,0.011235955056179775,4.0,4.0,217,323
Philadelphia,Restaurants,0.014198782961460446,4.0,4.0,217,783
Philadelphia,Restaurants,0.010775862068965518,4.0,4.0,217,252
Philadelphia,Restaurants,0.020361990950226245,4.0,4.0,217,234
Philadelphia,Restaurants,0.011516314779270634,4.0,4.5,217,310
Philadelphia,Restaurants,0.010935601458080195,4.0,3.5,217,615
Philadelphia,Restaurants,0.010067114093959731,4.0,3.5,217,385
Philadelphia,Restaurants,0.013618677042801557,4.0,4.0,217,304
Philadelphia,Restaurants,0.020202020202020204,4.0,4.5,217,86
Philadelphia,Restaurants,0.02120141342756184,4.0,3.5,217,72
Philadelphia,Restaurants,0.010526315789473684,4.0,4.0,217,263
Philadelphia,Restaurants,0.009074410163339383,4.0,3.5,217,339
Philadelphia,Restaurants,0.0324254215304799,4.0,4.5,217,579
Philadelphia,Restaurants,0.019138755980861243,4.0,3.5,217,209
Philadelphia,Restaurants,0.007454739084132056,4.0,4.0,217,729
Philadelphia,Restaurants,0.011441647597254004,4.0,3.0,217,225
Philadelphia,Restaurants,0.01696969696969697,4.0,4.0,217,622
Philadelphia,Restaurants,0.035555555555555556,4.0,4.0,217,249
Philadelphia,Restaurants,0.013761467889908258,4.0,3.5,217,446
Philadelphia,Restaurants,0.02056555269922879,4.0,3.5,217,180
Philadelphia,Restaurants,0.016181229773462782,4.0,3.5,217,97
Philadelphia,Restaurants,0.024844720496894408,4.0,3.5,217,113
Philadelphia,Restaurants,0.012534818941504178,4.0,4.5,217,510
Philadelphia,Restaurants,0.021442495126705652,4.0,3.5,217,307
Philadelphia,Restaurants,0.015151515151515152,4.0,3.5,217,453
Philadelphia,Restaurants,0.01366120218579235,4.0,4.0,217,154
Philadelphia,Restaurants,0.011061946902654867,4.0,4.0,217,240
Philadelphia,Restaurants,0.015701668302257114,4.0,4.0,217,818
Philadelphia,Restaurants,0.012027491408934709,4.0,4.5,217,372
Philadelphia,Restaurants,0.008289374529012811,4.0,4.5,217,1121
Philadelphia,Restaurants,0.010895883777239709,4.0,4.0,217,618
Philadelphia,Restaurants,0.005780346820809248,4.0,3.5,217,653
Philadelphia,Restaurants,0.0175054704595186,4.0,4.5,217,248
Philadelphia,Restaurants,0.01440922190201729,4.0,4.5,217,135
Philadelphia,Restaurants,0.014947683109118086,4.0,3.5,217,1141
Philadelphia,Restaurants,0.010380622837370242,4.0,3.5,217,367
Philadelphia,Restaurants,0.013414634146341463,4.0,4.0,217,614
Philadelphia,Restaurants,0.006024096385542169,4.0,3.5,217,618
Philadelphia,Restaurants,0.01006036217303823,4.0,3.5,217,787
Philadelphia,Restaurants,0.02009273570324575,4.0,3.5,217,443
Philadelphia,Restaurants,0.009878419452887538,4.0,3.5,217,1112
Philadelphia,Restaurants,0.012422360248447204,4.0,4.0,166,323
Philadelphia,Restaurants,0.005296610169491525,4.0,4.0,166,783
Philadelphia,Restaurants,0.012658227848101266,4.0,4.0,166,234
Philadelphia,Restaurants,0.01034928848641656,4.0,3.5,166,615
Philadelphia,Restaurants,0.016605166051660517,4.0,3.5,166,385
Philadelphia,Restaurants,0.009485094850948509,4.0,4.5,166,579
Philadelphia,Restaurants,0.016260162601626018,4.0,3.5,166,209
Philadelphia,Restaurants,0.007882882882882882,4.0,4.0,166,729
Philadelphia,Restaurants,0.012953367875647668,4.0,3.0,166,225
Philadelphia,Restaurants,0.01808785529715762,4.0,4.0,166,622
Philadelphia,Restaurants,0.007451564828614009,4.0,4.5,166,510
Philadelphia,Restaurants,0.009787928221859706,4.0,3.5,166,453
Philadelphia,Restaurants,0.01652892561983471,4.0,4.0,166,818
Philadelphia,Restaurants,0.008426966292134831,4.0,4.0,166,552
Philadelphia,Restaurants,0.011278195488721804,4.0,4.5,166,372
Philadelphia,Restaurants,0.00468384074941452,4.0,4.5,166,1121
Philadelphia,Restaurants,0.010309278350515464,4.0,4.0,166,618
Philadelphia,Restaurants,0.007380073800738007,4.0,3.5,166,653
Philadelphia,Restaurants,0.02575107296137339,4.0,4.0,166,73
Philadelphia,Restaurants,0.008487654320987654,4.0,3.5,166,1141
Philadelphia,Restaurants,0.00946969696969697,4.0,3.5,166,367
